reaction	minimum	maximum
12PPDt	0.0	0.0
2DGLCNRx	0.0	0.0
2DGLCNRy	0.0	0.0
2DGULRx	0.0	0.0
2DGULRy	0.0	0.0
3HCINNMH	0.0	0.0
3HPPPNH	0.0	0.0
4HTHRS	0.0	-0.0
5DGLCNR	-0.0	0.0
A5PISO	0.03872182	0.03872182
AACPS1	0.0	-0.0
AACPS2	0.0	-0.0
AACPS3	0.0	-0.0
AACPS4	0.0	-0.0
AACPS5	0.0	-0.0
AADDGT	0.0	-0.0
AB6PGH	0.0	0.0
ABTA	0.0	0.0
ABUTD	0.0	0.0
ABUTt2r	0.0	999999.0
ACACCT	0.0	0.0
ACACT1r	0.0	0.0
ACACt2	0.0	0.0
ACALD	0.0	0.0
ACALDt	-0.0	0.0
ACBIPGT	0.0	0.0
ACCOAC	2.12673788	2.12673788
ACCOAL	0.0	999999.0
ACGAMT	0.0	-0.0
ACGApts	-0.0	0.0
ACGK	0.29778923	0.29778923
ACGS	0.29778923	0.29778923
ACHBS	0.25445767	0.25445767
ACKr	0.52814626	0.52814626
ACLS	0.76527131	0.76527131
ACMAMUT	0.0	-0.0
ACMANApts	-0.0	0.0
ACNAMt2	-0.0	0.0
ACNML	-0.0	0.0
ACOATA	-0.0	0.29622192
ACODA	0.29778923	0.29778923
ACONMT	0.0	0.0
ACONT	5.0461476	5.04614759
ACOTA	-0.29778923	-0.29778923
ACPS1	0.0	0.0
ACS	0.0	-1e-08
ACt2r	-0.0	0.0
ADA	0.0	-0.0
ADCL	0.0460974	0.0460974
ADCS	0.0460974	0.0460974
ADD	0.0	-0.0
ADEt2	-0.0	0.0
ADHEr	0.0	-0.0
ADK1	-999996.15573112	999999.0
ADK3	-999996.87076456	999998.28496656
ADK4	0.0	0.0
ADMDC	0.00645364	0.00645364
ADNCYC	0.0	-0.0
ADNK1	0.00645363	0.4831008
ADNt2_copy1	0.0	999999.0
ADNt2_copy2	-999999.0	0.0
ADOCBIK	0.0	0.0
ADOCBLS	0.0	0.0
ADPT	0.0	-0.0
ADSK	0.2148683	0.2148683
ADSL1r	0.26690305	0.26690305
ADSL2r	0.44060729	0.44060729
ADSS	0.26690305	0.26690305
AGDC	-0.0	0.0
AGMHE	0.02323309	0.02323309
AGMT	0.0	-0.0
AGPR	-0.29778924	-0.29778923
AHCYSNS	0.0	0.0
AHCi	-0.0	0.0
AICART	0.52358262	0.52358262
AIRC2	0.44060729	0.44060729
AIRC3	-0.44060729	-0.44060729
AKGDH	4.02223203	4.02223204
AKGt2r	-0.0	0.0
ALAALAr	0.02544577	0.02544577
ALAR_copy1	-999998.94910847	0.05089153
ALAR_copy2	0.0	999999.0
ALATA_D2	0.0	0.0
ALATA_L	-999999.0	-0.52624797
ALATA_L2	0.0	0.0
ALAabc	0.0	0.0
ALAt2r	-0.0	0.0
ALCD19	-0.0	0.0
ALDD19xr	0.0	0.0
ALDD2x	0.0	0.0
ALLTAHr	0.0	0.0
ALLTN	0.0	0.0
ALLTNt2r	0.0	0.0
ALTRH	-0.0	0.0
AMALT1	0.0	0.0
AMALT2	0.0	0.0
AMALT3	0.0	0.0
AMALT4	0.0	0.0
AMANAPEr	-0.0	0.0
AMANK	-0.0	0.0
AMAOTr	0.0	0.0
AMMQT8_2	0.0	0.0
AMPMS	0.0	0.0
AMPN	0.0	0.0
ANPRT	0.0497852	0.0497852
ANS	0.0497852	0.0497852
AOXSr	0.0	0.0
AP4AH	0.0	0.0
AP5AH	0.0	0.0
APRAUR	9.22e-06	9.22e-06
ARAI	-0.0	0.0
ARBabc	0.0	-1e-08
ARBt2r	-0.0	0.0
ARGDC	0.0	-0.0
ARGORNt7	-0.0	0.0
ARGSL	0.25906741	0.25906741
ARGSS	0.25906741	0.25906741
ARGabc	0.0	-0.0
ASAD	-0.46060529	-0.46060527
ASNN	0.0	-0.0
ASNS1	0.0	-0.0
ASNS2	0.21112611	0.21112611
ASNabc	0.0	-1e-08
ASNt2r	-1e-08	0.0
ASP1DC	5.439e-05	5.439e-05
ASPCT	0.29050584	0.29050584
ASPK	0.46060527	0.46060527
ASPO3_1	0.0	0.00251692
ASPO4_1	0.0	0.00251692
ASPO5_1	0.0	0.00251692
ASPO6_1	0.0	0.0
ASPT	0.0	0.0
ASPTA	-2.14251241	-2.14251241
ASPabc	0.0	0.0
ASPt2_2	0.0	0.0
ASPt2_3	0.0	0.0
ASPt2r	0.0	0.0
AST	0.0	0.0
ATPM	7.6	7.6
ATPPRT	0.08297533	0.08297533
ATPS4r	53.50560589	53.50560589
BETALDHx	0.0	0.0
BETALDHy	0.0	0.0
BIOMASS_Ecoli	0.9219481	0.9219481
BPNT	0.2148683	0.2148683
BSORx	0.0	0.0
BSORy	0.0	0.0
BTS2	0.0	0.0
BUTCT	-0.0	0.0
BUTt2r	-0.0	0.0
C120SN	0.03872182	0.03872182
C140SN	0.01273948	0.01273948
C141SN	0.01248779	0.01248779
C160SN	0.08991207	0.08991207
C161SN	0.0174829	0.0174829
C181SN	0.12487787	0.12487787
CADVt	0.0	-0.0
CAT	0.0	-0.0
CBIAT_DELETE	0.0	0.0
CBL1abc	0.0	0.0
CBLAT_DELETE	0.0	0.0
CBMKr	0.54957326	0.54957326
CBPS	0.0	0.0
CDAPPA_EC	0.0	0.0
CDPMEK	0.0	0.0
CHLabc	0.0	0.0
CHLt2	-0.0	0.0
CHORM	0.28303807	0.28303807
CHORS	0.37892067	0.37892067
CHRPL	0.0	0.0
CINNDO	0.0	0.0
CITL	0.0	0.0
CITt7	-0.0	0.0
CLPNS_EC	0.00594657	0.00594657
CMPN	0.0	0.0
CO2t	-21.77702307	-21.77702307
CPPPGO	0.0	0.0
CRNBTCT	0.0	0.0
CRNCBCT	0.0	0.0
CRNCDH	0.0	0.0
CRNt7	0.0	0.0
CS	5.0461476	5.0461476
CSND	-0.0	0.0
CSNt2	-0.0	0.0
CTPS2	0.13958294	0.13958294
CYANST	0.0	0.0
CYNTAH	0.0	0.0
CYNTt2	0.0	0.0
CYSDS	0.0	0.0
CYSS	0.2148683	0.2148683
CYSTL	0.13460442	0.13460442
CYSabc	0.0	0.0
CYTBD	0.0	0.0
CYTBO3	39.84386794	39.84386794
CYTD	0.0	0.0
CYTDK2	-0.0	0.0
CYTDt2_copy1	0.0	999999.0
CYTDt2_copy2	-999999.0	0.0
CYTK1	0.16365408	0.16365408
CYTK2	-0.0	0.0
DAAD	0.0	0.0
DADA	0.0	0.0
DADK	-0.47664717	0.0
DADNt2	-0.0	0.0
DAGK_EC	0.01548873	0.01548873
DALAt2r	-0.0	0.0
DAPDC	0.30055508	0.30055508
DAPE	0.32600085	0.32600085
DAPabc	0.0	0.0
