model	objective	reaction	status	value
./e_coli_core.xml	obj	R_ACALD	optimal	0.8739215069684273
./e_coli_core.xml	obj	R_ACALDt	optimal	0.873921506968431
./e_coli_core.xml	obj	R_ACKr	optimal	0.8739215069684304
./e_coli_core.xml	obj	R_ACONTa	optimal	5.578496833029268e-15
./e_coli_core.xml	obj	R_ACONTb	optimal	5.2253089590253236e-15
./e_coli_core.xml	obj	R_ACt2r	optimal	0.8739215069684304
./e_coli_core.xml	obj	R_ADK1	optimal	0.8739215069684297
./e_coli_core.xml	obj	R_AKGDH	optimal	0.8583074080226883
./e_coli_core.xml	obj	R_AKGt2r	optimal	0.8739215069684302
./e_coli_core.xml	obj	R_ALCD2x	optimal	0.8739215069684322
./e_coli_core.xml	obj	R_ATPM	optimal	0.9166474637510487
./e_coli_core.xml	obj	R_ATPS4r	optimal	0.374229874933109
./e_coli_core.xml	obj	R_BIOMASS_Ecoli_core_w_GAM	optimal	0.0
./e_coli_core.xml	obj	R_CO2t	optimal	0.46166961416013436
./e_coli_core.xml	obj	R_CS	optimal	1.7013370678410985e-13
./e_coli_core.xml	obj	R_CYTBD	optimal	0.2116629497353093
./e_coli_core.xml	obj	R_D_LACt2	optimal	0.8739215069684373
./e_coli_core.xml	obj	R_ENO	optimal	-3.2158565628679556e-17
./e_coli_core.xml	obj	R_ETOHt2r	optimal	0.8739215069684322
./e_coli_core.xml	obj	R_EX_ac_e	optimal	0.8739215069684297
./e_coli_core.xml	obj	R_EX_acald_e	optimal	0.8739215069684309
./e_coli_core.xml	obj	R_EX_akg_e	optimal	0.8739215069684304
./e_coli_core.xml	obj	R_EX_co2_e	optimal	0.4616696141601343
./e_coli_core.xml	obj	R_EX_etoh_e	optimal	0.8739215069684267
./e_coli_core.xml	obj	R_EX_for_e	optimal	0.8739215069684373
./e_coli_core.xml	obj	R_EX_fru_e	optimal	0.8739215069684303
./e_coli_core.xml	obj	R_EX_fum_e	optimal	0.8739215069684294
./e_coli_core.xml	obj	R_EX_glc__D_e	infeasible	
./e_coli_core.xml	obj	R_EX_gln__L_e	optimal	0.8739215069684321
./e_coli_core.xml	obj	R_EX_glu__L_e	optimal	0.8739215069684273
./e_coli_core.xml	obj	R_EX_h2o_e	optimal	0.3835154492967824
./e_coli_core.xml	obj	R_EX_h_e	optimal	8.857771291006359e-16
./e_coli_core.xml	obj	R_EX_lac__D_e	optimal	0.8739215069684273
./e_coli_core.xml	obj	R_EX_mal__L_e	optimal	0.8739215069684322
./e_coli_core.xml	obj	R_EX_nh4_e	optimal	-1.3081994145085378e-16
./e_coli_core.xml	obj	R_EX_o2_e	optimal	0.21166294973530708
./e_coli_core.xml	obj	R_EX_pi_e	optimal	-1.6720121354035027e-16
./e_coli_core.xml	obj	R_EX_pyr_e	optimal	0.873921506968431
./e_coli_core.xml	obj	R_EX_succ_e	optimal	0.8739215069684318
./e_coli_core.xml	obj	R_FBA	optimal	0.7040369478590237
./e_coli_core.xml	obj	R_FBP	optimal	0.8739215069684294
./e_coli_core.xml	obj	R_FORt	optimal	0.8739215069684297
./e_coli_core.xml	obj	R_FORt2	optimal	0.8739215069684387
./e_coli_core.xml	obj	R_FRD7	optimal	0.8739215069684302
./e_coli_core.xml	obj	R_FRUpts2	optimal	0.8739215069684304
./e_coli_core.xml	obj	R_FUM	optimal	0.8142975075325359
./e_coli_core.xml	obj	R_FUMt2_2	optimal	0.8739215069684304
./e_coli_core.xml	obj	R_G6PDH2r	optimal	0.863813309504001
./e_coli_core.xml	obj	R_GAPD	optimal	-5.487661025838073e-16
./e_coli_core.xml	obj	R_GLCpts	infeasible	
./e_coli_core.xml	obj	R_GLNS	optimal	-1.3399085253611198e-16
./e_coli_core.xml	obj	R_GLNabc	optimal	0.8739215069684303
./e_coli_core.xml	obj	R_GLUDy	optimal	0.8513885233462102
./e_coli_core.xml	obj	R_GLUN	optimal	0.8739215069684301
./e_coli_core.xml	obj	R_GLUSy	optimal	0.8739215069684321
./e_coli_core.xml	obj	R_GLUt2r	optimal	0.8739215069684301
./e_coli_core.xml	obj	R_GND	optimal	0.8638133095040212
./e_coli_core.xml	obj	R_H2Ot	optimal	0.38351544929678233
./e_coli_core.xml	obj	R_ICDHyr	optimal	4.489888735435306e-15
./e_coli_core.xml	obj	R_ICL	optimal	0.8739215069684297
