reaction	minimum	maximum
ALATA_L2	0.0	5.568007407798259e-13
ALAabc	0.0	1.280641703793601e-12
ALAt2r	-1.280641703793601e-12	0.0
ALCD19	-9.082565275131917e-14	0.0
ALDD19xr	0.0	0.0
ALDD2x	0.0	3.461193794036748e-13
ALLTAHr	0.0	0.0
ALLTN	0.0	0.0
ALLTNt2r	0.0	0.0
ABTA	0.0	1.2393306810905849e-12
ABUTD	0.0	3.2016042594839964e-13
ALTRH	-5.751384897276652e-14	0.0
AMALT1	0.0	0.0
AMALT2	0.0	0.0
AMALT3	0.0	0.0
AMALT4	0.0	0.0
AMANAPEr	-3.518246438993411e-14	0.0
AMANK	-2.7325214163448107e-14	0.0
ABUTt2r	0.0	999999.0
AMAOTr	0.0	0.0
AMMQT8_2	0.0	0.0
ACACCT	0.0	0.0
ACACT1r	0.0	6.074838851328611e-13
12PPDt	0.0	0.0
AMPMS	0.0	2.2315734555901046e-13
AMPN	0.0	7.1075614560544714e-12
ACACt2	0.0	0.0
ANPRT	0.04978519713272517	0.04978519713291583
ACALD	0.0	4.0042599752419674e-12
ANS	0.04978519713272517	0.04978519713291583
AOXSr	0.0	0.0
ACALDt	-9.979026263326763e-14	0.0
ACBIPGT	0.0	0.0
ACCOAC	2.1267378803371826	2.1267378803442867
ACCOAL	0.0	999999.0
ACGAMT	0.0	-1.0018180318166268e-10
2DGLCNRx	0.0	0.0
2DGLCNRy	0.0	0.0
ACGApts	-3.518246438993411e-14	0.0
ACGK	0.2977892347013006	0.29778922883318054
ACGS	0.2977892347013006	0.29778922883318054
ACHBS	0.25445767423392873	0.2544576740274026
AP4AH	0.0	0.0
ACKr	0.5281462637815539	0.5281462579163543
ACLS	0.7652713138294943	0.765271313540146
AP5AH	0.0	0.0
ACMAMUT	0.0	-1.0018180318166268e-10
2DGULRx	0.0	0.0
APRAUR	9.219480950504662e-06	9.219480950293572e-06
2DGULRy	0.0	0.0
ARAI	-5.649889869677646e-14	0.0
ACMANApts	-3.518246438993411e-14	0.0
ACNAMt2	-2.7325214163448107e-14	0.0
3HCINNMH	0.0	0.0
ARBabc	0.0	-7.827538221927247e-09
3HPPPNH	0.0	0.0
4HTHRS	0.0	-4.261817543699044e-10
ACNML	-2.7325214163448107e-14	0.0
ACOATA	-9.604812778451987e-13	0.2962219226939562
ACODA	0.2977892347013006	0.29778922883318054
ACONMT	0.0	0.0
ARBt2r	-1.280641703793601e-12	0.0
ACONT	5.046147604918003	5.046147591041902
ACOTA	-0.29778923470226104	-0.29778923470747565
ACPS1	0.0	0.0
5DGLCNR	-5.122566815174406e-14	0.0
A5PISO	0.0387218199921196	0.038721819991232996
AACPS1	0.0	-4.308736635923225e-11
