reaction	value	status
EX_for_e	0.8739215069684309	optimal
GLNabc	0.8739215069684309	optimal
TKT1	0.864759154831476	optimal
ACALD	0.8739215069684307	optimal
ATPM	0.9166474637510493	optimal
EX_succ_e	0.8739215069684307	optimal
FRD7	0.8739215069684307	optimal
PPCK	0.8739215069684307	optimal
TALA	0.8647591548314764	optimal
ME2	0.8739215069684311	optimal
PGI	0.8631595522084172	optimal
CS	0.0	optimal
G6PDH2r	0.8638133095040084	optimal
ADK1	0.8739215069684293	optimal
EX_co2_e	0.4616696141601339	optimal
MALS	0.8739215069684315	optimal
EX_glu__L_e	0.8739215069684315	optimal
RPE	0.8657155608953032	optimal
PTAr	0.8739215069684315	optimal
FORt2	0.8739215069684315	optimal
LDH_D	0.8739215069684315	optimal
GLUt2r	0.8739215069684315	optimal
SUCDi	0.8142975075325302	optimal
EX_nh4_e	-1.036012177346598e-16	optimal
BIOMASS_Ecoli_core_w_GAM	0.0	optimal
GLNS	-1.932249614507726e-16	optimal
CO2t	0.46166961416013047	optimal
SUCOAS	0.85830740802269	optimal
ACt2r	0.8739215069684125	optimal
EX_pyr_e	0.8739215069684125	optimal
PPC	0.8707448062160208	optimal
THD2	0.8739215069684125	optimal
GAPD	1.776206463509227e-16	optimal
PYRt2	0.8739215069684311	optimal
CYTBD	0.21166294973531058	optimal
AKGt2r	0.8739215069684303	optimal
NADTRHD	0.8739215069684303	optimal
EX_etoh_e	0.8739215069684303	optimal
EX_fru_e	0.8739215069684303	optimal
PDH	0.7966959254309565	optimal
GND	0.8638133095039994	optimal
ALCD2x	0.8739215069684289	optimal
FBP	0.8739215069684289	optimal
FBA	0.7040369478589966	optimal
PGL	0.8638133095039993	optimal
ACONTb	1.0498445114761465e-16	optimal
RPI	-7.850921915410096e-33	optimal
ACONTa	1.3051895587941488e-16	optimal
FUMt2_2	0.8739215069684294	optimal
SUCCt3	0.8739215069684294	optimal
FUM	0.8142975075325244	optimal
ACKr	0.8739215069684303	optimal
ICDHyr	1.6063952764022012e-16	optimal
ENO	9.340962961999241e-16	optimal
PYK	0.8649260179498689	optimal
ACALDt	0.8739215069684314	optimal
MALt2_2	0.8739215069684314	optimal
TPI	0.7040369478590242	optimal
D_LACt2	0.8739215069684328	optimal
EX_ac_e	0.8739215069684328	optimal
GLUDy	0.8513885233462111	optimal
PFK	0.7040369478590154	optimal
MDH	0.8258192905969883	optimal
EX_fum_e	0.873921506968429	optimal
GLCpts		infeasible
EX_mal__L_e	0.873921506968429	optimal
FORt	0.873921506968429	optimal
SUCCt2_2	0.873921506968429	optimal
GLUN	0.873921506968429	optimal
EX_glc__D_e		infeasible
ICL	0.8739215069684303	optimal
PFL	0.8739215069684303	optimal
EX_o2_e	0.21166294973531063	optimal
EX_acald_e	0.8739215069684303	optimal
NADH16	0.21166294973530891	optimal
TKT2	0.8666740848328334	optimal
ETOHt2r	0.8739215069684408	optimal
ATPS4r	0.37422987493310955	optimal
O2t	0.21166294973531027	optimal
GLUSy	0.8739215069684292	optimal
NH4t	-3.099059512302545e-16	optimal
PGM	8.37384837304657e-17	optimal
EX_gln__L_e	0.8739215069684292	optimal
EX_lac__D_e	0.8739215069684292	optimal
PPS	0.8739215069684303	optimal
ME1	0.8739215069684303	optimal
PGK	-5.487661025838073e-16	optimal
EX_akg_e	0.8739215069684324	optimal
AKGDH	0.8583074080226901	optimal
EX_pi_e	-3.204353460464016e-17	optimal
EX_h2o_e	0.3835154492967831	optimal
PIt2r	-8.144241671252615e-17	optimal
EX_h_e	-6.078420485837501e-16	optimal
H2Ot	0.383515449296783	optimal
FRUpts2	0.8739215069684304	optimal
