model	objective	gene	status	value
e_coli_core.xml	obj	G_b0008	optimal	0.873922
e_coli_core.xml	obj	G_b0114	optimal	0.796696
e_coli_core.xml	obj	G_b0115	optimal	0.796696
e_coli_core.xml	obj	G_b0116	optimal	0.782351
e_coli_core.xml	obj	G_b0118	optimal	0.873922
e_coli_core.xml	obj	G_b0351	optimal	0.873922
e_coli_core.xml	obj	G_b0356	optimal	0.873922
e_coli_core.xml	obj	G_b0451	optimal	0.873922
e_coli_core.xml	obj	G_b0474	optimal	0.873922
e_coli_core.xml	obj	G_b0485	optimal	0.873922
e_coli_core.xml	obj	G_b0720	optimal	0.0
e_coli_core.xml	obj	G_b0721	optimal	0.814298
e_coli_core.xml	obj	G_b0722	optimal	0.814298
e_coli_core.xml	obj	G_b0723	optimal	0.814298
e_coli_core.xml	obj	G_b0724	optimal	0.814298
e_coli_core.xml	obj	G_b0726	optimal	0.858307
e_coli_core.xml	obj	G_b0727	optimal	0.858307
e_coli_core.xml	obj	G_b0728	optimal	0.858307
e_coli_core.xml	obj	G_b0729	optimal	0.858307
e_coli_core.xml	obj	G_b0733	optimal	0.873922
e_coli_core.xml	obj	G_b0734	optimal	0.873922
e_coli_core.xml	obj	G_b0755	optimal	0.873922
e_coli_core.xml	obj	G_b0767	optimal	0.863813
e_coli_core.xml	obj	G_b0809	optimal	0.873922
e_coli_core.xml	obj	G_b0810	optimal	0.873922
e_coli_core.xml	obj	G_b0811	optimal	0.873922
e_coli_core.xml	obj	G_b0875	optimal	0.873922
e_coli_core.xml	obj	G_b0902	optimal	0.873922
e_coli_core.xml	obj	G_b0903	optimal	0.873922
e_coli_core.xml	obj	G_b0904	optimal	0.873922
e_coli_core.xml	obj	G_b0978	optimal	0.873922
e_coli_core.xml	obj	G_b0979	optimal	0.873922
e_coli_core.xml	obj	G_b1101	optimal	0.873922
e_coli_core.xml	obj	G_b1136	optimal	0.0
e_coli_core.xml	obj	G_b1241	optimal	0.873922
e_coli_core.xml	obj	G_b1276	optimal	0.873922
e_coli_core.xml	obj	G_b1297	optimal	0.873922
e_coli_core.xml	obj	G_b1380	optimal	0.873922
e_coli_core.xml	obj	G_b1478	optimal	0.873922
e_coli_core.xml	obj	G_b1479	optimal	0.873922
e_coli_core.xml	obj	G_b1524	optimal	0.873922
e_coli_core.xml	obj	G_b1602	optimal	0.873922
e_coli_core.xml	obj	G_b1603	optimal	0.873922
e_coli_core.xml	obj	G_b1611	optimal	0.873922
e_coli_core.xml	obj	G_b1612	optimal	0.873922
e_coli_core.xml	obj	G_b1621	optimal	0.873922
e_coli_core.xml	obj	G_b1676	optimal	0.873922
e_coli_core.xml	obj	G_b1702	optimal	0.873922
e_coli_core.xml	obj	G_b1723	optimal	0.873922
e_coli_core.xml	obj	G_b1761	optimal	0.851389
e_coli_core.xml	obj	G_b1773	optimal	0.873922
e_coli_core.xml	obj	G_b1779	optimal	0.0
e_coli_core.xml	obj	G_b1812	optimal	0.873922
e_coli_core.xml	obj	G_b1817	optimal	0.873922
e_coli_core.xml	obj	G_b1818	optimal	0.873922
e_coli_core.xml	obj	G_b1819	optimal	0.873922
e_coli_core.xml	obj	G_b1849	optimal	0.873922
e_coli_core.xml	obj	G_b1852	optimal	0.863813
e_coli_core.xml	obj	G_b1854	optimal	0.873922
e_coli_core.xml	obj	G_b2029	optimal	0.863813
e_coli_core.xml	obj	G_b2097	optimal	0.873922
e_coli_core.xml	obj	G_b2133	optimal	0.873922
e_coli_core.xml	obj	G_b2276	optimal	0.211663
e_coli_core.xml	obj	G_b2277	optimal	0.211663
e_coli_core.xml	obj	G_b2278	optimal	0.211663
e_coli_core.xml	obj	G_b2279	optimal	0.211663
e_coli_core.xml	obj	G_b2280	optimal	0.211663
e_coli_core.xml	obj	G_b2281	optimal	0.211663
e_coli_core.xml	obj	G_b2282	optimal	0.211663
e_coli_core.xml	obj	G_b2283	optimal	0.211663
e_coli_core.xml	obj	G_b2284	optimal	0.211663
e_coli_core.xml	obj	G_b2285	optimal	0.211663
e_coli_core.xml	obj	G_b2286	optimal	0.211663
e_coli_core.xml	obj	G_b2287	optimal	0.211663
e_coli_core.xml	obj	G_b2288	optimal	0.211663
e_coli_core.xml	obj	G_b2296	optimal	0.873922
e_coli_core.xml	obj	G_b2297	optimal	0.873922
e_coli_core.xml	obj	G_b2415	infeasible	
e_coli_core.xml	obj	G_b2416	infeasible	
e_coli_core.xml	obj	G_b2417	optimal	0.873922
e_coli_core.xml	obj	G_b2458	optimal	0.873922
e_coli_core.xml	obj	G_b2463	optimal	0.873922
e_coli_core.xml	obj	G_b2464	optimal	0.873922
e_coli_core.xml	obj	G_b2465	optimal	0.873922
e_coli_core.xml	obj	G_b2492	optimal	0.873922
e_coli_core.xml	obj	G_b2579	optimal	0.873922
e_coli_core.xml	obj	G_b2587	optimal	0.873922
e_coli_core.xml	obj	G_b2779	optimal	0.0
e_coli_core.xml	obj	G_b2914	optimal	0.873922
e_coli_core.xml	obj	G_b2925	optimal	0.873922
