model	objective	reaction	flux	status	minimum	maximum
iJR904.xml.gz	obj	R_12PPDt	0.0	optimal	0.0	0.0
iJR904.xml.gz	obj	R_2DGLCNRx	0.0	optimal	0.0	0.0
iJR904.xml.gz	obj	R_2DGLCNRy	0.0	optimal	0.0	0.0
iJR904.xml.gz	obj	R_2DGULRx	0.0	optimal	0.0	0.0
iJR904.xml.gz	obj	R_2DGULRy	0.0	optimal	0.0	0.0
iJR904.xml.gz	obj	R_3HCINNMH	0.0	optimal	0.0	0.0
iJR904.xml.gz	obj	R_3HPPPNH	0.0	optimal	0.0	0.0
iJR904.xml.gz	obj	R_4HTHRS	0.0	optimal	0.0	0.0
iJR904.xml.gz	obj	R_5DGLCNR	0.0	optimal	0.0	0.0
iJR904.xml.gz	obj	R_A5PISO	0.038722	optimal	0.038722	0.038722
iJR904.xml.gz	obj	R_AACPS1	0.0	optimal	0.0	0.0
iJR904.xml.gz	obj	R_AACPS2	0.0	optimal	0.0	0.0
iJR904.xml.gz	obj	R_AACPS3	0.0	optimal	0.0	0.0
iJR904.xml.gz	obj	R_AACPS4	0.0	optimal	0.0	0.0
iJR904.xml.gz	obj	R_AACPS5	0.0	optimal	0.0	0.0
iJR904.xml.gz	obj	R_AADDGT	0.0	optimal	0.0	0.0
iJR904.xml.gz	obj	R_AB6PGH	0.0	optimal	0.0	0.0
iJR904.xml.gz	obj	R_ABTA	0.0	optimal	0.0	0.0
iJR904.xml.gz	obj	R_ABUTD	0.0	optimal	0.0	0.0
iJR904.xml.gz	obj	R_ABUTt2r	0.0	optimal	0.0	999999.0
iJR904.xml.gz	obj	R_ACACCT	0.0	optimal	0.0	0.0
iJR904.xml.gz	obj	R_ACACT1r	0.0	optimal	0.0	0.0
iJR904.xml.gz	obj	R_ACACt2	0.0	optimal	0.0	0.0
iJR904.xml.gz	obj	R_ACALD	0.0	optimal	0.0	0.0
iJR904.xml.gz	obj	R_ACALDt	0.0	optimal	0.0	0.0
iJR904.xml.gz	obj	R_ACBIPGT	0.0	optimal	0.0	0.0
iJR904.xml.gz	obj	R_ACCOAC	2.126738	optimal	2.126738	2.126738
iJR904.xml.gz	obj	R_ACCOAL	0.0	optimal	0.0	999999.0
iJR904.xml.gz	obj	R_ACGAMT	0.0	optimal	0.0	0.0
iJR904.xml.gz	obj	R_ACGApts	0.0	optimal	0.0	0.0
iJR904.xml.gz	obj	R_ACGK	0.297789	optimal	0.297789	0.297789
iJR904.xml.gz	obj	R_ACGS	0.297789	optimal	0.297789	0.297789
iJR904.xml.gz	obj	R_ACHBS	0.254458	optimal	0.254458	0.254458
iJR904.xml.gz	obj	R_ACKr	0.528146	optimal	0.528146	0.528146
iJR904.xml.gz	obj	R_ACLS	0.765271	optimal	0.765271	0.765271
iJR904.xml.gz	obj	R_ACMAMUT	0.0	optimal	0.0	0.0
iJR904.xml.gz	obj	R_ACMANApts	0.0	optimal	0.0	0.0
iJR904.xml.gz	obj	R_ACNAMt2	0.0	optimal	0.0	0.0
iJR904.xml.gz	obj	R_ACNML	0.0	optimal	0.0	0.0
iJR904.xml.gz	obj	R_ACOATA	0.0	optimal	0.0	0.296222
iJR904.xml.gz	obj	R_ACODA	0.297789	optimal	0.297789	0.297789
iJR904.xml.gz	obj	R_ACONMT	0.0	optimal	0.0	0.0
iJR904.xml.gz	obj	R_ACONT	5.046148	optimal	5.046148	5.046148
iJR904.xml.gz	obj	R_ACOTA	-0.297789	optimal	-0.297789	-0.297789
iJR904.xml.gz	obj	R_ACPS1	0.0	optimal	0.0	0.0
iJR904.xml.gz	obj	R_ACS	0.0	optimal	0.0	0.0
iJR904.xml.gz	obj	R_ACt2r	0.0	optimal	0.0	0.0
iJR904.xml.gz	obj	R_ADA	0.0	optimal	0.0	0.0
iJR904.xml.gz	obj	R_ADCL	0.046097	optimal	0.046097	0.046097
iJR904.xml.gz	obj	R_ADCS	0.046097	optimal	0.046097	0.046097
iJR904.xml.gz	obj	R_ADD	0.0	optimal	0.0	0.0
iJR904.xml.gz	obj	R_ADEt2	0.0	optimal	0.0	0.0
iJR904.xml.gz	obj	R_ADHEr	0.0	optimal	0.0	0.0
iJR904.xml.gz	obj	R_ADK1	2.129235	optimal	-999996.155731	999999.0
iJR904.xml.gz	obj	R_ADK3	0.0	optimal	-999996.870765	999998.284967
iJR904.xml.gz	obj	R_ADK4	0.0	optimal	0.0	0.0
iJR904.xml.gz	obj	R_ADMDC	0.006454	optimal	0.006454	0.006454
iJR904.xml.gz	obj	R_ADNCYC	0.0	optimal	0.0	0.0
iJR904.xml.gz	obj	R_ADNK1	0.006454	optimal	0.006454	0.483101
