reaction	value	status
12PPDt	0.9219481	optimal
2DGLCNRx	0.9219481	optimal
2DGLCNRy	0.9219481	optimal
2DGULRx	0.9219481	optimal
2DGULRy	0.9219481	optimal
3HCINNMH	0.9219481	optimal
3HPPPNH	0.9219481	optimal
4HTHRS	0.9219481	optimal
5DGLCNR	0.9219481	optimal
A5PISO	0.0	optimal
AACPS1	0.9219481	optimal
AACPS2	0.9219481	optimal
AACPS3	0.9219481	optimal
AACPS4	0.9219481	optimal
AACPS5	0.9219481	optimal
AADDGT	0.9219481	optimal
AB6PGH	0.9219481	optimal
ABTA	0.9219481	optimal
ABUTD	0.9219481	optimal
ABUTt2r	0.9219481	optimal
ACACCT	0.9219481	optimal
ACACT1r	0.9219481	optimal
ACACt2	0.9219481	optimal
ACALD	0.9219481	optimal
ACALDt	0.9219481	optimal
ACBIPGT	0.9219481	optimal
ACCOAC	0.0	optimal
ACCOAL	0.9219481	optimal
ACGAMT	0.9219481	optimal
ACGApts	0.9219481	optimal
ACGK	0.0	optimal
ACGS	0.0	optimal
ACHBS	0.0	optimal
ACKr	0.91896549	optimal
ACLS	0.0	optimal
ACMAMUT	0.9219481	optimal
ACMANApts	0.9219481	optimal
ACNAMt2	0.9219481	optimal
ACNML	0.9219481	optimal
ACOATA	0.9219481	optimal
ACODA	0.0	optimal
ACONMT	0.9219481	optimal
ACONT	0.0	optimal
ACOTA	0.0	optimal
ACPS1	0.9219481	optimal
ACS	0.9219481	optimal
ACt2r	0.9219481	optimal
ADA	0.9219481	optimal
ADCL	0.0	optimal
ADCS	0.0	optimal
ADD	0.9219481	optimal
ADEt2	0.9219481	optimal
ADHEr	0.9219481	optimal
ADK1	0.9219481	optimal
ADK3	0.9219481	optimal
ADK4	0.9219481	optimal
ADMDC	0.0	optimal
ADNCYC	0.9219481	optimal
ADNK1	0.92191826	optimal
ADNt2_copy1	0.9219481	optimal
ADNt2_copy2	0.9219481	optimal
ADOCBIK	0.9219481	optimal
ADOCBLS	0.9219481	optimal
ADPT	0.9219481	optimal
ADSK	0.0	optimal
ADSL1r	0.0	optimal
ADSL2r	0.0	optimal
ADSS	0.0	optimal
AGDC	0.9219481	optimal
AGMHE	0.0	optimal
AGMT	0.9219481	optimal
AGPR	0.0	optimal
AHCYSNS	0.9219481	optimal
AHCi	0.9219481	optimal
AICART	0.0	optimal
AIRC2	0.0	optimal
AIRC3	0.0	optimal
AKGDH	0.90612905	optimal
AKGt2r	0.9219481	optimal
ALAALAr	0.0	optimal
ALAR_copy1	0.9219481	optimal
ALAR_copy2	0.9219481	optimal
ALATA_D2	0.9219481	optimal
ALATA_L	0.0	optimal
ALATA_L2	0.9219481	optimal
ALAabc	0.9219481	optimal
ALAt2r	0.9219481	optimal
ALCD19	0.9219481	optimal
ALDD19xr	0.9219481	optimal
ALDD2x	0.9219481	optimal
ALLTAHr	0.9219481	optimal
ALLTN	0.9219481	optimal
ALLTNt2r	0.9219481	optimal
ALTRH	0.9219481	optimal
AMALT1	0.9219481	optimal
AMALT2	0.9219481	optimal
AMALT3	0.9219481	optimal
AMALT4	0.9219481	optimal
AMANAPEr	0.9219481	optimal
AMANK	0.9219481	optimal
AMAOTr	0.9219481	optimal
AMMQT8_2	0.9219481	optimal
AMPMS	0.9219481	optimal
AMPN	0.9219481	optimal
ANPRT	0.0	optimal
ANS	0.0	optimal
AOXSr	0.9219481	optimal
AP4AH	0.9219481	optimal
AP5AH	0.9219481	optimal
APRAUR	0.0	optimal
ARAI	0.9219481	optimal
ARBabc	0.9219481	optimal
ARBt2r	0.9219481	optimal
ARGDC	0.9219481	optimal
ARGORNt7	0.9219481	optimal
ARGSL	0.0	optimal
ARGSS	0.0	optimal
ARGabc	0.9219481	optimal
ASAD	0.0	optimal
ASNN	0.9219481	optimal
ASNS1	0.9219481	optimal
ASNS2	0.92097296	optimal
ASNabc	0.9219481	optimal
ASNt2r	0.9219481	optimal
ASP1DC	0.0	optimal
ASPCT	0.0	optimal
