reaction	minimum	maximum
12PPDt	0.0	0.0
2DGLCNRx	0.0	0.0
2DGLCNRy	0.0	0.0
2DGULRx	0.0	0.0
2DGULRy	0.0	0.0
3HCINNMH	0.0	0.0
3HPPPNH	0.0	0.0
4HTHRS	0.0	-4e-10
5DGLCNR	-0.0	0.0
A5PISO	0.03872182	0.03872182
AACPS1	0.0	-0.0
AACPS2	0.0	-1e-10
AACPS3	0.0	-8e-10
AACPS4	0.0	-2e-10
AACPS5	0.0	-1.1e-09
AADDGT	0.0	-2e-10
AB6PGH	0.0	0.0
ABTA	0.0	0.0
ABUTD	0.0	0.0
ABUTt2r	0.0	999999.0
ACACCT	0.0	0.0
ACACT1r	0.0	0.0
ACACt2	0.0	0.0
ACALD	0.0	0.0
ACALDt	-0.0	0.0
ACBIPGT	0.0	0.0
ACCOAC	2.1267378803	2.1267378803
ACCOAL	0.0	999999.0
ACGAMT	0.0	-1e-10
ACGApts	-0.0	0.0
ACGK	0.2977892347	0.2977892288
ACGS	0.2977892347	0.2977892288
ACHBS	0.2544576742	0.254457674
ACKr	0.5281462638	0.5281462579
ACLS	0.7652713138	0.7652713135
ACMAMUT	0.0	-1e-10
ACMANApts	-0.0	0.0
ACNAMt2	-0.0	0.0
ACNML	-0.0	0.0
ACOATA	-0.0	0.2962219227
ACODA	0.2977892347	0.2977892288
ACONMT	0.0	0.0
ACONT	5.0461476049	5.046147591
ACOTA	-0.2977892347	-0.2977892347
ACPS1	0.0	0.0
ACS	0.0	-5.9e-09
ACt2r	-0.0	0.0
ADA	0.0	-4.8e-09
ADCL	0.0460974048	0.0460974048
ADCS	0.0460974048	0.0460974048
ADD	0.0	-4.8e-09
ADEt2	-0.0	0.0
ADHEr	0.0	-6e-10
ADK1	-999996.1557311221	999999.0
ADK3	-999996.8707645625	999998.2849665597
ADK4	0.0	0.0
ADMDC	0.0064536367	0.0064536366
ADNCYC	0.0	-1e-10
ADNK1	0.006453632	0.4831007991
ADNt2_copy1	0.0	999999.0
ADNt2_copy2	-999999.0	0.0
ADOCBIK	0.0	0.0
ADOCBLS	0.0	0.0
ADPT	0.0	-2.7e-09
ADSK	0.2148683011	0.214868301
ADSL1r	0.2669030515	0.2669030493
ADSL2r	0.440607292	0.4406072919
ADSS	0.2669030515	0.2669030478
AGDC	-2e-10	0.0
AGMHE	0.023233092	0.023233092
AGMT	0.0	-1.3e-09
AGPR	-0.2977892394	-0.2977892347
AHCYSNS	0.0	0.0
AHCi	-1e-10	0.0
AICART	0.5235826206	0.5235826205
AIRC2	0.440607292	0.4406072919
AIRC3	-0.4406072923	-0.4406072922
AKGDH	4.0222320262	4.0222320393
AKGt2r	-3e-10	0.0
ALAALAr	0.0254457674	0.0254457674
ALAR_copy1	-999998.9491084651	0.0508915306
ALAR_copy2	0.0	999999.0
ALATA_D2	0.0	0.0
ALATA_L	-999999.0	-0.5262479727
ALATA_L2	0.0	0.0
ALAabc	0.0	0.0
ALAt2r	-0.0	0.0
ALCD19	-0.0	0.0
ALDD19xr	0.0	0.0
ALDD2x	0.0	0.0
ALLTAHr	0.0	0.0
ALLTN	0.0	0.0
ALLTNt2r	0.0	0.0
ALTRH	-0.0	0.0
AMALT1	0.0	0.0
AMALT2	0.0	0.0
AMALT3	0.0	0.0
AMALT4	0.0	0.0
AMANAPEr	-0.0	0.0
AMANK	-0.0	0.0
AMAOTr	0.0	0.0
AMMQT8_2	0.0	0.0
AMPMS	0.0	0.0
AMPN	0.0	0.0
ANPRT	0.0497851971	0.0497851971
ANS	0.0497851971	0.0497851971
AOXSr	0.0	0.0
AP4AH	0.0	0.0
AP5AH	0.0	0.0
APRAUR	9.2195e-06	9.2195e-06
ARAI	-0.0	0.0
ARBabc	0.0	-7.8e-09
ARBt2r	-0.0	0.0
ARGDC	0.0	-1.6e-09
ARGORNt7	-0.0	0.0
ARGSL	0.2590674147	0.259067414
ARGSS	0.2590674147	0.259067414
ARGabc	0.0	-3.6e-09
ASAD	-0.4606052949	-0.4606052683
ASNN	0.0	-1.4e-09
ASNS1	0.0	-4.7e-09
ASNS2	0.2111261091	0.2111261114
ASNabc	0.0	-6.3e-09
ASNt2r	-6.2e-09	0.0
ASP1DC	5.43949e-05	5.43948e-05
ASPCT	0.2905058448	0.2905058444
ASPK	0.4606052683	0.4606052683
ASPO3_1	0.0	0.0025169183
ASPO4_1	0.0	0.0025169183
ASPO5_1	0.0	0.0025169183
ASPO6_1	0.0	0.0
ASPT	0.0	0.0
ASPTA	-2.1425124122	-2.1425124122
ASPabc	0.0	0.0
ASPt2_2	0.0	0.0
ASPt2_3	0.0	0.0
ASPt2r	0.0	0.0
AST	0.0	0.0
ATPM	7.6	7.6
ATPPRT	0.0829753286	0.0829753286
ATPS4r	53.5056058926	53.5056058926
BETALDHx	0.0	0.0
BETALDHy	0.0	0.0
BIOMASS_Ecoli	0.9219480951	0.9219480951
BPNT	0.2148683011	0.2148683011
BSORx	0.0	0.0
BSORy	0.0	0.0
BTS2	0.0	0.0
BUTCT	-0.0	0.0
BUTt2r	-0.0	0.0
C120SN	0.03872182	0.03872182
C140SN	0.0127394788	0.0127394787
C141SN	0.0124877869	0.0124877869
C160SN	0.089912066	0.0899120658
C161SN	0.0174829017	0.0174829017
C181SN	0.1248778695	0.1248778695
CADVt	0.0	-2e-10
CAT	0.0	-3.8e-09
CBIAT_DELETE	0.0	0.0
CBL1abc	0.0	0.0
CBLAT_DELETE	0.0	0.0
CBMKr	0.5495732595	0.5495732595
CBPS	0.0	0.0
CDAPPA_EC	0.0	0.0
CDPMEK	0.0	0.0
CHLabc	0.0	0.0
CHLt2	-0.0	0.0
CHORM	0.2830380652	0.2830380652
CHORS	0.3789206671	0.3789206671
CHRPL	0.0	0.0
CINNDO	0.0	0.0
CITL	0.0	0.0
CITt7	-0.0	0.0
CLPNS_EC	0.0059465652	0.0059465652
CMPN	0.0	0.0
CO2t	-21.7770230734	-21.7770230734
CPPPGO	0.0	0.0
CRNBTCT	0.0	0.0
CRNCBCT	0.0	0.0
CRNCDH	0.0	0.0
CRNt7	0.0	0.0
CS	5.0461476049	5.0461476049
CSND	-0.0	0.0
CSNt2	-0.0	0.0
CTPS2	0.1395829416	0.1395829416
CYANST	0.0	0.0
CYNTAH	0.0	0.0
CYNTt2	0.0	0.0
CYSDS	0.0	0.0
CYSS	0.2148683011	0.2148683011
CYSTL	0.1346044219	0.1346044219
CYSabc	0.0	0.0
CYTBD	0.0	0.0
CYTBO3	39.8438679449	39.8438679449
CYTD	0.0	0.0
CYTDK2	-0.0	0.0
CYTDt2_copy1	0.0	999999.0
CYTDt2_copy2	-999999.0	0.0
CYTK1	0.1636540844	0.1636540844
