reaction	value	status
ACALD	0.87392151	optimal
ACALDt	0.87392151	optimal
ACKr	0.87392151	optimal
ACONTa	0.0	optimal
ACONTb	0.0	optimal
ACt2r	0.87392151	optimal
ADK1	0.87392151	optimal
AKGDH	0.85830741	optimal
AKGt2r	0.87392151	optimal
ALCD2x	0.87392151	optimal
ATPM	0.91664746	optimal
ATPS4r	0.37422987	optimal
BIOMASS_Ecoli_core_w_GAM	0.0	optimal
CO2t	0.46166961	optimal
CS	0.0	optimal
CYTBD	0.21166295	optimal
D_LACt2	0.87392151	optimal
ENO	0.0	optimal
ETOHt2r	0.87392151	optimal
EX_ac_e	0.87392151	optimal
EX_acald_e	0.87392151	optimal
EX_akg_e	0.87392151	optimal
EX_co2_e	0.46166961	optimal
EX_etoh_e	0.87392151	optimal
EX_for_e	0.87392151	optimal
EX_fru_e	0.87392151	optimal
EX_fum_e	0.87392151	optimal
EX_glc__D_e		infeasible
EX_gln__L_e	0.87392151	optimal
EX_glu__L_e	0.87392151	optimal
EX_h2o_e	0.38351545	optimal
EX_h_e	0.0	optimal
EX_lac__D_e	0.87392151	optimal
EX_mal__L_e	0.87392151	optimal
EX_nh4_e	0.0	optimal
EX_o2_e	0.21166295	optimal
EX_pi_e	0.0	optimal
EX_pyr_e	0.87392151	optimal
EX_succ_e	0.87392151	optimal
FBA	0.70403695	optimal
FBP	0.87392151	optimal
FORt	0.87392151	optimal
FORt2	0.87392151	optimal
FRD7	0.87392151	optimal
FRUpts2	0.87392151	optimal
FUM	0.81429751	optimal
FUMt2_2	0.87392151	optimal
G6PDH2r	0.86381331	optimal
GAPD	0.0	optimal
GLCpts		infeasible
GLNS	0.0	optimal
GLNabc	0.87392151	optimal
GLUDy	0.85138852	optimal
GLUN	0.87392151	optimal
GLUSy	0.87392151	optimal
GLUt2r	0.87392151	optimal
GND	0.86381331	optimal
H2Ot	0.38351545	optimal
ICDHyr	0.0	optimal
ICL	0.87392151	optimal
LDH_D	0.87392151	optimal
MALS	0.87392151	optimal
MALt2_2	0.87392151	optimal
MDH	0.82581929	optimal
ME1	0.87392151	optimal
ME2	0.87392151	optimal
NADH16	0.21166295	optimal
NADTRHD	0.87392151	optimal
NH4t	0.0	optimal
O2t	0.21166295	optimal
PDH	0.79669593	optimal
PFK	0.70403695	optimal
PFL	0.87392151	optimal
PGI	0.86315955	optimal
PGK	0.0	optimal
PGL	0.86381331	optimal
PGM	0.0	optimal
PIt2r	0.0	optimal
PPC	0.87074481	optimal
PPCK	0.87392151	optimal
PPS	0.87392151	optimal
PTAr	0.87392151	optimal
PYK	0.86492602	optimal
PYRt2	0.87392151	optimal
RPE	0.86571556	optimal
RPI	0.0	optimal
SUCCt2_2	0.87392151	optimal
SUCCt3	0.87392151	optimal
SUCDi	0.81429751	optimal
SUCOAS	0.85830741	optimal
TALA	0.86475915	optimal
THD2	0.87392151	optimal
TKT1	0.86475915	optimal
TKT2	0.86667408	optimal
TPI	0.70403695	optimal
