model	objective	reaction	status	minimum	maximum
macrophage_SARS_CoV_2	obj	10FTHF5GLUtl	optimal	0.0	0.327585
macrophage_SARS_CoV_2	obj	10FTHF5GLUtm	optimal	0.0	0.327585
macrophage_SARS_CoV_2	obj	10FTHF6GLUtl	optimal	0.0	0.262068
macrophage_SARS_CoV_2	obj	10FTHF6GLUtm	optimal	0.0	0.262068
macrophage_SARS_CoV_2	obj	10FTHF7GLUtl	optimal	0.0	0.21839
macrophage_SARS_CoV_2	obj	10FTHF7GLUtm	optimal	0.0	0.21839
macrophage_SARS_CoV_2	obj	10FTHFtl	optimal	0.327585	0.0
macrophage_SARS_CoV_2	obj	10FTHFtm	optimal	0.252429	0.327585
macrophage_SARS_CoV_2	obj	13DAMPPOX	optimal	0.0	0.0
macrophage_SARS_CoV_2	obj	1MNCAMti	optimal	0.0	0.0
macrophage_SARS_CoV_2	obj	1a_COMMA_24_COMMA_25VITD2Hm	optimal	0.0	0.0
macrophage_SARS_CoV_2	obj	1a_COMMA_24_COMMA_25VITD3Hm	optimal	0.0	0.0
macrophage_SARS_CoV_2	obj	1a_COMMA_25VITD2Hm	optimal	0.0	0.0
macrophage_SARS_CoV_2	obj	1a_COMMA_25VITD3Hm	optimal	0.0	0.0
macrophage_SARS_CoV_2	obj	24NPHte	optimal	0.0	0.0
macrophage_SARS_CoV_2	obj	24_COMMA_25DHVITD2t	optimal	0.0	0.0
macrophage_SARS_CoV_2	obj	24_COMMA_25DHVITD2tm	optimal	0.0	0.0
macrophage_SARS_CoV_2	obj	24_COMMA_25DHVITD3t	optimal	0.0	0.019021
macrophage_SARS_CoV_2	obj	24_COMMA_25DHVITD3tm	optimal	0.0	0.019021
macrophage_SARS_CoV_2	obj	24_COMMA_25VITD2Hm	optimal	0.0	0.0
macrophage_SARS_CoV_2	obj	24_COMMA_25VITD3Hm	optimal	0.0	0.019021
macrophage_SARS_CoV_2	obj	25HVITD2t	optimal	0.0	1000.0
macrophage_SARS_CoV_2	obj	25HVITD2tin	optimal	0.0	1000.0
macrophage_SARS_CoV_2	obj	25HVITD2tin_DASH_m	optimal	0.0	1000.0
macrophage_SARS_CoV_2	obj	25HVITD2tm	optimal	0.0	1000.0
macrophage_SARS_CoV_2	obj	25HVITD3t	optimal	0.0	1000.0
macrophage_SARS_CoV_2	obj	25HVITD3tin	optimal	0.0	1000.0
macrophage_SARS_CoV_2	obj	25HVITD3tin_DASH_m	optimal	0.0	1000.0
macrophage_SARS_CoV_2	obj	25HVITD3tm	optimal	0.0	1000.0
macrophage_SARS_CoV_2	obj	25VITD2Hm	optimal	0.0	0.0
macrophage_SARS_CoV_2	obj	25VITD3Hm	optimal	0.0	0.0
macrophage_SARS_CoV_2	obj	2DR1PP	optimal	0.0	0.274455
macrophage_SARS_CoV_2	obj	2HBO	optimal	0.010645	0.0
macrophage_SARS_CoV_2	obj	2HBt2	optimal	0.010645	0.0
macrophage_SARS_CoV_2	obj	2HCO3_NAt	optimal	1000.0	1000.0
macrophage_SARS_CoV_2	obj	2MCITt	optimal	0.0	0.010645
macrophage_SARS_CoV_2	obj	2OXOADOXm	optimal	0.0	0.0
macrophage_SARS_CoV_2	obj	2OXOADPTm	optimal	0.0	0.0
macrophage_SARS_CoV_2	obj	34DHPHAMT	optimal	0.0	0.0
macrophage_SARS_CoV_2	obj	34DHPLACOX	optimal	0.0	1000.0
macrophage_SARS_CoV_2	obj	34DHPLACOX_LPAREN_NADP_RPAREN_	optimal	1000.0	0.0
macrophage_SARS_CoV_2	obj	34HPLFM	optimal	0.0	0.0
macrophage_SARS_CoV_2	obj	35CGMPtn	optimal	0.0	0.545976
macrophage_SARS_CoV_2	obj	3AIBTm	optimal	0.0	0.002921
macrophage_SARS_CoV_2	obj	3AIBt	optimal	0.0	0.002921
macrophage_SARS_CoV_2	obj	3AIBtm	optimal	0.0	0.002921
macrophage_SARS_CoV_2	obj	3DPHBH1	optimal	0.0	0.0
macrophage_SARS_CoV_2	obj	3DPHBH2	optimal	0.0	0.0
macrophage_SARS_CoV_2	obj	3DSPHR	optimal	0.0	0.170927
macrophage_SARS_CoV_2	obj	3HAO	optimal	0.0	0.0
macrophage_SARS_CoV_2	obj	3HBCDm	optimal	0.0	0.0
macrophage_SARS_CoV_2	obj	3HBCOAHLm	optimal	0.0	0.002921
