model	objective	reaction	flux	status	minimum	maximum
e_coli_core.xml	obj	ACALD	0.0	optimal	0.0	0.0
e_coli_core.xml	obj	ACALDt	0.0	optimal	0.0	0.0
e_coli_core.xml	obj	ACKr	0.0	optimal	0.0	0.0
e_coli_core.xml	obj	ACONTa	6.00725	optimal	6.00725	6.00725
e_coli_core.xml	obj	ACONTb	6.00725	optimal	6.00725	6.00725
e_coli_core.xml	obj	ACt2r	0.0	optimal	0.0	0.0
e_coli_core.xml	obj	ADK1	0.0	optimal	0.0	0.0
e_coli_core.xml	obj	AKGDH	5.064376	optimal	5.064376	5.064376
e_coli_core.xml	obj	AKGt2r	0.0	optimal	0.0	0.0
e_coli_core.xml	obj	ALCD2x	0.0	optimal	0.0	0.0
e_coli_core.xml	obj	ATPM	8.39	optimal	8.39	8.39
e_coli_core.xml	obj	ATPS4r	45.51401	optimal	45.51401	45.51401
e_coli_core.xml	obj	BIOMASS_Ecoli_core_w_GAM	0.873922	optimal	0.873922	0.873922
e_coli_core.xml	obj	CO2t	-22.809833	optimal	-22.809833	-22.809833
e_coli_core.xml	obj	CS	6.00725	optimal	6.00725	6.00725
e_coli_core.xml	obj	CYTBD	43.598985	optimal	43.598985	43.598985
e_coli_core.xml	obj	D_LACt2	0.0	optimal	0.0	0.0
e_coli_core.xml	obj	ENO	14.71614	optimal	14.71614	14.71614
e_coli_core.xml	obj	ETOHt2r	0.0	optimal	0.0	0.0
e_coli_core.xml	obj	EX_ac_e	0.0	optimal	0.0	0.0
e_coli_core.xml	obj	EX_acald_e	0.0	optimal	0.0	0.0
e_coli_core.xml	obj	EX_akg_e	0.0	optimal	0.0	0.0
e_coli_core.xml	obj	EX_co2_e	22.809833	optimal	22.809833	22.809833
e_coli_core.xml	obj	EX_etoh_e	0.0	optimal	0.0	0.0
e_coli_core.xml	obj	EX_for_e	0.0	optimal	0.0	0.0
e_coli_core.xml	obj	EX_fru_e	0.0	optimal	0.0	0.0
e_coli_core.xml	obj	EX_fum_e	0.0	optimal	0.0	0.0
e_coli_core.xml	obj	EX_glc__D_e	-10.0	optimal	-10.0	-10.0
e_coli_core.xml	obj	EX_gln__L_e	0.0	optimal	0.0	0.0
e_coli_core.xml	obj	EX_glu__L_e	0.0	optimal	0.0	0.0
e_coli_core.xml	obj	EX_h2o_e	29.175827	optimal	29.175827	29.175827
e_coli_core.xml	obj	EX_h_e	17.530865	optimal	17.530865	17.530865
e_coli_core.xml	obj	EX_lac__D_e	0.0	optimal	0.0	0.0
e_coli_core.xml	obj	EX_mal__L_e	0.0	optimal	0.0	0.0
e_coli_core.xml	obj	EX_nh4_e	-4.765319	optimal	-4.765319	-4.765319
e_coli_core.xml	obj	EX_o2_e	-21.799493	optimal	-21.799493	-21.799493
e_coli_core.xml	obj	EX_pi_e	-3.214895	optimal	-3.214895	-3.214895
e_coli_core.xml	obj	EX_pyr_e	0.0	optimal	0.0	0.0
e_coli_core.xml	obj	EX_succ_e	0.0	optimal	0.0	0.0
e_coli_core.xml	obj	FBA	7.477382	optimal	7.477382	7.477382
e_coli_core.xml	obj	FBP	0.0	optimal	0.0	0.0
e_coli_core.xml	obj	FORt	0.0	optimal	0.0	0.0
e_coli_core.xml	obj	FORt2	0.0	optimal	0.0	0.0
e_coli_core.xml	obj	FRD7	0.0	optimal	0.0	994.935624
e_coli_core.xml	obj	FRUpts2	0.0	optimal	0.0	0.0
e_coli_core.xml	obj	FUM	5.064376	optimal	5.064376	5.064376
e_coli_core.xml	obj	FUMt2_2	0.0	optimal	0.0	0.0
e_coli_core.xml	obj	G6PDH2r	4.959985	optimal	4.959985	4.959985
e_coli_core.xml	obj	GAPD	16.023526	optimal	16.023526	16.023526
e_coli_core.xml	obj	GLCpts	10.0	optimal	10.0	10.0
e_coli_core.xml	obj	GLNS	0.223462	optimal	0.223462	0.223462
e_coli_core.xml	obj	GLNabc	0.0	optimal	0.0	0.0
e_coli_core.xml	obj	GLUDy	-4.541857	optimal	-4.541857	-4.541857
e_coli_core.xml	obj	GLUN	0.0	optimal	0.0	0.0
e_coli_core.xml	obj	GLUSy	0.0	optimal	0.0	0.0
e_coli_core.xml	obj	GLUt2r	0.0	optimal	0.0	0.0
e_coli_core.xml	obj	GND	4.959985	optimal	4.959985	4.959985
e_coli_core.xml	obj	H2Ot	-29.175827	optimal	-29.175827	-29.175827
e_coli_core.xml	obj	ICDHyr	6.00725	optimal	6.00725	6.00725
e_coli_core.xml	obj	ICL	0.0	optimal	0.0	0.0
e_coli_core.xml	obj	LDH_D	0.0	optimal	0.0	0.0
e_coli_core.xml	obj	MALS	0.0	optimal	0.0	0.0
e_coli_core.xml	obj	MALt2_2	0.0	optimal	0.0	0.0
e_coli_core.xml	obj	MDH	5.064376	optimal	5.064376	5.064376
e_coli_core.xml	obj	ME1	0.0	optimal	0.0	0.0
e_coli_core.xml	obj	ME2	0.0	optimal	0.0	0.0
e_coli_core.xml	obj	NADH16	38.53461	optimal	38.53461	38.53461
e_coli_core.xml	obj	NADTRHD	0.0	optimal	0.0	0.0
e_coli_core.xml	obj	NH4t	4.765319	optimal	4.765319	4.765319
e_coli_core.xml	obj	O2t	21.799493	optimal	21.799493	21.799493
e_coli_core.xml	obj	PDH	9.282533	optimal	9.282533	9.282533
e_coli_core.xml	obj	PFK	7.477382	optimal	7.477382	7.477382
e_coli_core.xml	obj	PFL	0.0	optimal	0.0	0.0
e_coli_core.xml	obj	PGI	4.860861	optimal	4.860861	4.860861
e_coli_core.xml	obj	PGK	-16.023526	optimal	-16.023526	-16.023526
e_coli_core.xml	obj	PGL	4.959985	optimal	4.959985	4.959985
e_coli_core.xml	obj	PGM	-14.71614	optimal	-14.71614	-14.71614
e_coli_core.xml	obj	PIt2r	3.214895	optimal	3.214895	3.214895
e_coli_core.xml	obj	PPC	2.504309	optimal	2.504309	2.504309
e_coli_core.xml	obj	PPCK	0.0	optimal	0.0	0.0
e_coli_core.xml	obj	PPS	0.0	optimal	0.0	0.0
e_coli_core.xml	obj	PTAr	0.0	optimal	0.0	0.0
e_coli_core.xml	obj	PYK	1.758177	optimal	1.758177	1.758177
e_coli_core.xml	obj	PYRt2	0.0	optimal	0.0	0.0
e_coli_core.xml	obj	RPE	2.678482	optimal	2.678482	2.678482
e_coli_core.xml	obj	RPI	-2.281503	optimal	-2.281503	-2.281503
e_coli_core.xml	obj	SUCCt2_2	0.0	optimal	0.0	0.0
e_coli_core.xml	obj	SUCCt3	0.0	optimal	0.0	0.0
e_coli_core.xml	obj	SUCDi	5.064376	optimal	5.064376	1000.0
e_coli_core.xml	obj	SUCOAS	-5.064376	optimal	-5.064376	-5.064376
e_coli_core.xml	obj	TALA	1.496984	optimal	1.496984	1.496984
e_coli_core.xml	obj	THD2	0.0	optimal	0.0	0.0
e_coli_core.xml	obj	TKT1	1.496984	optimal	1.496984	1.496984
e_coli_core.xml	obj	TKT2	1.181498	optimal	1.181498	1.181498
e_coli_core.xml	obj	TPI	7.477382	optimal	7.477382	7.477382
