model	objective	reaction	status	minimum	maximum
iJR904	obj	12PPDt	optimal	0.0	0.0
iJR904	obj	2DGLCNRx	optimal	0.0	0.0
iJR904	obj	2DGLCNRy	optimal	0.0	0.0
iJR904	obj	2DGULRx	optimal	0.0	0.0
iJR904	obj	2DGULRy	optimal	0.0	0.0
iJR904	obj	3HCINNMH	optimal	0.0	0.0
iJR904	obj	3HPPPNH	optimal	0.0	0.0
iJR904	obj	4HTHRS	optimal	0.0	-0.0
iJR904	obj	5DGLCNR	optimal	-0.0	0.0
iJR904	obj	A5PISO	optimal	0.03872182	0.03872182
iJR904	obj	AACPS1	optimal	0.0	0.0
iJR904	obj	AACPS2	optimal	0.0	0.0
iJR904	obj	AACPS3	optimal	0.0	0.0
iJR904	obj	AACPS4	optimal	0.0	0.0
iJR904	obj	AACPS5	optimal	0.0	0.0
iJR904	obj	AADDGT	optimal	0.0	0.0
iJR904	obj	AB6PGH	optimal	0.0	0.0
iJR904	obj	ABTA	optimal	0.0	0.0
iJR904	obj	ABUTD	optimal	0.0	0.0
iJR904	obj	ABUTt2r	optimal	0.0	999999.0
iJR904	obj	ACACCT	optimal	0.0	0.0
iJR904	obj	ACACT1r	optimal	0.0	0.0
iJR904	obj	ACACt2	optimal	0.0	0.0
iJR904	obj	ACALD	optimal	0.0	0.0
iJR904	obj	ACALDt	optimal	-0.0	0.0
iJR904	obj	ACBIPGT	optimal	0.0	0.0
iJR904	obj	ACCOAC	optimal	2.12673788	2.12673788
iJR904	obj	ACCOAL	optimal	0.0	999999.0
iJR904	obj	ACGAMT	optimal	0.0	-0.0
iJR904	obj	ACGApts	optimal	0.0	0.0
iJR904	obj	ACGK	optimal	0.29778923	0.29778923
iJR904	obj	ACGS	optimal	0.29778923	0.29778923
iJR904	obj	ACHBS	optimal	0.25445767	0.25445767
iJR904	obj	ACKr	optimal	0.52814626	0.52814626
iJR904	obj	ACLS	optimal	0.76527131	0.76527131
iJR904	obj	ACMAMUT	optimal	0.0	-0.0
iJR904	obj	ACMANApts	optimal	-0.0	0.0
iJR904	obj	ACNAMt2	optimal	-0.0	0.0
iJR904	obj	ACNML	optimal	-0.0	0.0
iJR904	obj	ACOATA	optimal	-0.0	0.29622192
iJR904	obj	ACODA	optimal	0.29778923	0.29778923
iJR904	obj	ACONMT	optimal	0.0	0.0
iJR904	obj	ACONT	optimal	5.0461476	5.04614759
iJR904	obj	ACOTA	optimal	-0.29778923	-0.29778923
iJR904	obj	ACPS1	optimal	0.0	0.0
iJR904	obj	ACS	optimal	0.0	0.0
iJR904	obj	ACt2r	optimal	-0.0	0.0
iJR904	obj	ADA	optimal	0.0	0.0
iJR904	obj	ADCL	optimal	0.0460974	0.0460974
iJR904	obj	ADCS	optimal	0.0460974	0.0460974
iJR904	obj	ADD	optimal	0.0	0.0
iJR904	obj	ADEt2	optimal	-0.0	0.0
iJR904	obj	ADHEr	optimal	0.0	0.0
iJR904	obj	ADK1	optimal	-999996.15573112	999999.0
iJR904	obj	ADK3	optimal	-999996.87076456	999998.28496656
iJR904	obj	ADK4	optimal	0.0	0.0
iJR904	obj	ADMDC	optimal	0.00645364	0.00645364
iJR904	obj	ADNCYC	optimal	0.0	0.0
iJR904	obj	ADNK1	optimal	0.00645363	0.4831008
iJR904	obj	ADNt2_copy1	optimal	0.0	999999.0
iJR904	obj	ADNt2_copy2	optimal	-999999.0	0.0
iJR904	obj	ADOCBIK	optimal	0.0	0.0
iJR904	obj	ADOCBLS	optimal	0.0	0.0
iJR904	obj	ADPT	optimal	0.0	0.0
iJR904	obj	ADSK	optimal	0.2148683	0.2148683
iJR904	obj	ADSL1r	optimal	0.26690305	0.26690305
iJR904	obj	ADSL2r	optimal	0.44060729	0.44060729
iJR904	obj	ADSS	optimal	0.26690305	0.26690305
iJR904	obj	AGDC	optimal	0.0	0.0
iJR904	obj	AGMHE	optimal	0.02323309	0.02323309
iJR904	obj	AGMT	optimal	0.0	0.0
iJR904	obj	AGPR	optimal	-0.29778923	-0.29778923
iJR904	obj	AHCYSNS	optimal	0.0	0.0
iJR904	obj	AHCi	optimal	0.0	0.0
iJR904	obj	AICART	optimal	0.52358262	0.52358262
iJR904	obj	AIRC2	optimal	0.44060729	0.44060729
iJR904	obj	AIRC3	optimal	-0.44060729	-0.44060729
iJR904	obj	AKGDH	optimal	4.02223205	4.02223205
iJR904	obj	AKGt2r	optimal	-0.0	0.0
iJR904	obj	ALAALAr	optimal	0.02544577	0.02544577
iJR904	obj	ALAR_copy1	optimal	-999998.94910847	0.05089153
iJR904	obj	ALAR_copy2	optimal	0.0	999999.0
iJR904	obj	ALATA_D2	optimal	0.0	0.0
iJR904	obj	ALATA_L	optimal	-999999.0	-0.52624797
iJR904	obj	ALATA_L2	optimal	0.0	0.0
iJR904	obj	ALAabc	optimal	0.0	0.0
iJR904	obj	ALAt2r	optimal	-0.0	0.0
iJR904	obj	ALCD19	optimal	-0.0	0.0
iJR904	obj	ALDD19xr	optimal	0.0	0.0
iJR904	obj	ALDD2x	optimal	0.0	0.0
iJR904	obj	ALLTAHr	optimal	0.0	0.0
iJR904	obj	ALLTN	optimal	0.0	0.0
iJR904	obj	ALLTNt2r	optimal	0.0	0.0
iJR904	obj	ALTRH	optimal	-0.0	0.0
iJR904	obj	AMALT1	optimal	0.0	0.0
iJR904	obj	AMALT2	optimal	0.0	0.0
iJR904	obj	AMALT3	optimal	0.0	0.0
iJR904	obj	AMALT4	optimal	0.0	0.0
iJR904	obj	AMANAPEr	optimal	-0.0	0.0
iJR904	obj	AMANK	optimal	-0.0	0.0
iJR904	obj	AMAOTr	optimal	0.0	0.0
iJR904	obj	AMMQT8_2	optimal	0.0	0.0
iJR904	obj	AMPMS	optimal	0.0	0.0
iJR904	obj	AMPN	optimal	0.0	0.0
iJR904	obj	ANPRT	optimal	0.0497852	0.0497852
iJR904	obj	ANS	optimal	0.0497852	0.0497852
iJR904	obj	AOXSr	optimal	0.0	0.0
iJR904	obj	AP4AH	optimal	0.0	0.0
iJR904	obj	AP5AH	optimal	0.0	0.0
iJR904	obj	APRAUR	optimal	9.22e-06	9.22e-06
iJR904	obj	ARAI	optimal	-0.0	0.0
iJR904	obj	ARBabc	optimal	0.0	-1e-08
iJR904	obj	ARBt2r	optimal	-0.0	0.0
iJR904	obj	ARGDC	optimal	0.0	0.0
iJR904	obj	ARGORNt7	optimal	-0.0	0.0
iJR904	obj	ARGSL	optimal	0.25906741	0.25906741
iJR904	obj	ARGSS	optimal	0.25906741	0.25906741
iJR904	obj	ARGabc	optimal	0.0	0.0
iJR904	obj	ASAD	optimal	-0.46060529	-0.46060527
iJR904	obj	ASNN	optimal	0.0	0.0
iJR904	obj	ASNS1	optimal	0.0	0.0
iJR904	obj	ASNS2	optimal	0.21112611	0.21112611
iJR904	obj	ASNabc	optimal	0.0	0.0
iJR904	obj	ASNt2r	optimal	-0.0	0.0
iJR904	obj	ASP1DC	optimal	5.439e-05	5.439e-05
iJR904	obj	ASPCT	optimal	0.29050584	0.29050584
iJR904	obj	ASPK	optimal	0.46060527	0.46060527
iJR904	obj	ASPO3_1	optimal	0.0	0.00251692
iJR904	obj	ASPO4_1	optimal	0.0	0.00251692
iJR904	obj	ASPO5_1	optimal	0.0	0.00251692
iJR904	obj	ASPO6_1	optimal	0.0	0.0
iJR904	obj	ASPT	optimal	0.0	0.0
iJR904	obj	ASPTA	optimal	-2.14251241	-2.14251241
iJR904	obj	ASPabc	optimal	0.0	0.0
iJR904	obj	ASPt2_2	optimal	0.0	0.0
iJR904	obj	ASPt2_3	optimal	0.0	0.0
iJR904	obj	ASPt2r	optimal	0.0	0.0
iJR904	obj	AST	optimal	0.0	0.0
iJR904	obj	ATPM	optimal	7.6	7.6
iJR904	obj	ATPPRT	optimal	0.08297533	0.08297533
iJR904	obj	ATPS4r	optimal	53.50560589	53.50560589
iJR904	obj	BETALDHx	optimal	0.0	0.0
iJR904	obj	BETALDHy	optimal	0.0	0.0
iJR904	obj	BIOMASS_Ecoli	optimal	0.9219481	0.9219481
iJR904	obj	BPNT	optimal	0.2148683	0.2148683
iJR904	obj	BSORx	optimal	0.0	0.0
iJR904	obj	BSORy	optimal	0.0	0.0
iJR904	obj	BTS2	optimal	0.0	0.0
iJR904	obj	BUTCT	optimal	-0.0	0.0
iJR904	obj	BUTt2r	optimal	0.0	0.0
iJR904	obj	C120SN	optimal	0.03872182	0.03872182
iJR904	obj	C140SN	optimal	0.01273948	0.01273948
iJR904	obj	C141SN	optimal	0.01248779	0.01248779
iJR904	obj	C160SN	optimal	0.08991207	0.08991207
iJR904	obj	C161SN	optimal	0.0174829	0.0174829
iJR904	obj	C181SN	optimal	0.12487787	0.12487787
iJR904	obj	CADVt	optimal	0.0	0.0
iJR904	obj	CAT	optimal	0.0	0.0
iJR904	obj	CBIAT_DELETE	optimal	0.0	0.0
iJR904	obj	CBL1abc	optimal	0.0	0.0
iJR904	obj	CBLAT_DELETE	optimal	-0.0	0.0
iJR904	obj	CBMKr	optimal	0.54957326	0.54957326
iJR904	obj	CBPS	optimal	0.0	0.0
iJR904	obj	CDAPPA_EC	optimal	0.0	0.0
iJR904	obj	CDPMEK	optimal	0.0	0.0
iJR904	obj	CHLabc	optimal	0.0	0.0
iJR904	obj	CHLt2	optimal	-0.0	0.0
iJR904	obj	CHORM	optimal	0.28303807	0.28303807
iJR904	obj	CHORS	optimal	0.37892067	0.37892067
iJR904	obj	CHRPL	optimal	0.0	0.0
iJR904	obj	CINNDO	optimal	0.0	0.0
iJR904	obj	CITL	optimal	0.0	0.0
iJR904	obj	CITt7	optimal	-0.0	0.0
iJR904	obj	CLPNS_EC	optimal	0.00594657	0.00594657
iJR904	obj	CMPN	optimal	0.0	0.0
iJR904	obj	CO2t	optimal	-21.77702307	-21.77702307
iJR904	obj	CPPPGO	optimal	0.0	0.0
iJR904	obj	CRNBTCT	optimal	0.0	0.0
iJR904	obj	CRNCBCT	optimal	0.0	0.0
iJR904	obj	CRNCDH	optimal	0.0	0.0
iJR904	obj	CRNt7	optimal	0.0	0.0
iJR904	obj	CS	optimal	5.0461476	5.0461476
iJR904	obj	CSND	optimal	-0.0	0.0
iJR904	obj	CSNt2	optimal	-0.0	0.0
iJR904	obj	CTPS2	optimal	0.13958294	0.13958294
iJR904	obj	CYANST	optimal	0.0	0.0
iJR904	obj	CYNTAH	optimal	0.0	0.0
iJR904	obj	CYNTt2	optimal	0.0	0.0
iJR904	obj	CYSDS	optimal	0.0	0.0
iJR904	obj	CYSS	optimal	0.2148683	0.2148683
iJR904	obj	CYSTL	optimal	0.13460442	0.13460442
iJR904	obj	CYSabc	optimal	0.0	0.0
iJR904	obj	CYTBD	optimal	0.0	0.0
iJR904	obj	CYTBO3	optimal	39.84386794	39.84386794
iJR904	obj	CYTD	optimal	0.0	0.0
iJR904	obj	CYTDK2	optimal	-0.0	0.0
iJR904	obj	CYTDt2_copy1	optimal	0.0	999999.0
iJR904	obj	CYTDt2_copy2	optimal	-999999.0	0.0
iJR904	obj	CYTK1	optimal	0.16365408	0.16365408
iJR904	obj	CYTK2	optimal	-0.0	0.0
iJR904	obj	DAAD	optimal	0.0	0.0
iJR904	obj	DADA	optimal	0.0	0.0
iJR904	obj	DADK	optimal	-0.47664717	0.0
iJR904	obj	DADNt2	optimal	-0.0	0.0
iJR904	obj	DAGK_EC	optimal	0.01548873	0.01548873
iJR904	obj	DALAt2r	optimal	-0.0	0.0
iJR904	obj	DAPDC	optimal	0.30055508	0.30055508
iJR904	obj	DAPE	optimal	0.32600085	0.32600085
iJR904	obj	DAPabc	optimal	0.0	0.0
iJR904	obj	DASYN_EC	optimal	0.1403666	0.1403666
iJR904	obj	DB4PS	optimal	1.844e-05	1.844e-05
iJR904	obj	DBTS	optimal	0.0	0.0
iJR904	obj	DCTPD	optimal	0.0	0.0
iJR904	obj	DCYTD	optimal	0.0	0.0
iJR904	obj	DCYTt2	optimal	0.0	0.0
iJR904	obj	DDGALK	optimal	0.0	0.0
iJR904	obj	DDGLCNt2r	optimal	0.0	0.0
iJR904	obj	DDGLK	optimal	0.0	0.0
iJR904	obj	DDPA	optimal	0.37892067	0.37892067
iJR904	obj	DDPGALA	optimal	-0.0	0.0
iJR904	obj	DGK1	optimal	-0.47664717	0.0
iJR904	obj	DGSNt2	optimal	-0.0	0.0
iJR904	obj	DHAD1	optimal	0.76527131	0.76527131
iJR904	obj	DHAD2	optimal	0.25445767	0.25445767
iJR904	obj	DHAPT	optimal	0.0	0.41728352
iJR904	obj	DHAt	optimal	-0.0	0.0
iJR904	obj	DHBD	optimal	0.0	0.0
iJR904	obj	DHBSr	optimal	0.0	0.0
iJR904	obj	DHCIND	optimal	0.0	0.0
iJR904	obj	DHCINDO_1	optimal	0.0	0.0
iJR904	obj	DHDPRy	optimal	0.32600085	0.32600085
iJR904	obj	DHDPS	optimal	0.32600085	0.32600085
iJR904	obj	DHFR	optimal	0.06886952	0.06886952
iJR904	obj	DHFS_1	optimal	0.0460974	0.0460974
iJR904	obj	DHNAOT	optimal	0.0	0.0
iJR904	obj	DHNPA2r	optimal	0.0460974	0.0460974
iJR904	obj	DHORD2	optimal	0.0	0.29050584
iJR904	obj	DHORD5	optimal	0.0	0.29050584
iJR904	obj	DHORTS	optimal	-0.29050584	-0.29050584
iJR904	obj	DHPPD	optimal	-0.0	0.0
iJR904	obj	DHPPDA2	optimal	9.22e-06	9.22e-06
iJR904	obj	DHPS2_1	optimal	0.0460974	0.0460974
iJR904	obj	DHPTDCs	optimal	0.0	0.0
iJR904	obj	DHQS	optimal	0.37892067	0.37892067
iJR904	obj	DHQTi	optimal	0.37892067	0.37892067
iJR904	obj	DINSt2	optimal	-0.0	0.0
iJR904	obj	DKGLCNR1	optimal	0.0	0.0
iJR904	obj	DKGLCNR2x	optimal	0.0	0.0
iJR904	obj	DKGLCNR2y	optimal	0.0	0.0
iJR904	obj	DKMPPD	optimal	0.00645364	0.00645364
iJR904	obj	DKMPPD2	optimal	0.0	0.0
iJR904	obj	DMATT	optimal	0.0	0.0
iJR904	obj	DMPPS	optimal	0.0	0.0
iJR904	obj	DMQMT	optimal	0.0	0.0
iJR904	obj	DMSOR1	optimal	0.0	0.0
iJR904	obj	DMSOR1e	optimal	0.0	0.0
iJR904	obj	DMSOR2	optimal	0.0	0.0
iJR904	obj	DMSOR2e	optimal	0.0	0.0
iJR904	obj	DNMPPA	optimal	0.0460974	0.0460974
iJR904	obj	DNTPPA	optimal	0.0460974	0.0460974
iJR904	obj	DOGULNR	optimal	0.0	0.0
iJR904	obj	DPCOAK	optimal	5.439e-05	5.439e-05
iJR904	obj	DPR	optimal	5.439e-05	5.439e-05
iJR904	obj	DRPA	optimal	0.47664717	0.47664717
iJR904	obj	DSERt2	optimal	-0.0	0.0
iJR904	obj	DTMPK	optimal	0.02277212	0.02277212
iJR904	obj	DURIK1	optimal	0.0	0.0
iJR904	obj	DURIPP	optimal	-0.0	0.47664717
iJR904	obj	DURIt2	optimal	-0.0	0.0
iJR904	obj	DUTPDP	optimal	0.0	0.0
iJR904	obj	DXPRIi	optimal	0.0	0.0
iJR904	obj	DXPS	optimal	0.0	0.0
iJR904	obj	DXYLK	optimal	0.0	0.0
iJR904	obj	D_LACt2	optimal	-0.0	0.0
iJR904	obj	E4PD	optimal	0.0	0.0
iJR904	obj	ECAP_EC	optimal	0.0	0.0
iJR904	obj	EDA	optimal	0.0	0.0
iJR904	obj	EDD	optimal	0.0	0.0
iJR904	obj	EDTXS1	optimal	0.00774436	0.00774436
iJR904	obj	EDTXS2	optimal	0.00774436	0.00774436
iJR904	obj	EDTXS3	optimal	0.0	0.0
iJR904	obj	EDTXS4	optimal	0.0	0.0
iJR904	obj	ENO	optimal	13.39304802	13.39304802
iJR904	obj	ENTCS_1	optimal	0.0	0.0
iJR904	obj	ETHAAL	optimal	0.0	0.0
iJR904	obj	ETOHt2r	optimal	-0.0	0.0
iJR904	obj	EX_12ppd__S_e	optimal	0.0	0.0
iJR904	obj	EX_15dap_e	optimal	0.0	0.0
iJR904	obj	EX_26dap__M_e	optimal	0.0	0.0
iJR904	obj	EX_2ddglcn_e	optimal	0.0	0.0
iJR904	obj	EX_3hcinnm_e	optimal	0.0	0.0
iJR904	obj	EX_3hpppn_e	optimal	0.0	0.0
iJR904	obj	EX_4abut_e	optimal	0.0	0.0
iJR904	obj	EX_ac_e	optimal	0.0	0.0
iJR904	obj	EX_acac_e	optimal	0.0	0.0
iJR904	obj	EX_acald_e	optimal	0.0	0.0
iJR904	obj	EX_acgam_e	optimal	0.0	0.0
iJR904	obj	EX_acmana_e	optimal	0.0	0.0
iJR904	obj	EX_acnam_e	optimal	0.0	0.0
iJR904	obj	EX_ade_e	optimal	0.0	0.0
iJR904	obj	EX_adn_e	optimal	0.0	0.0
iJR904	obj	EX_akg_e	optimal	0.0	0.0
iJR904	obj	EX_ala__D_e	optimal	0.0	0.0
iJR904	obj	EX_ala__L_e	optimal	0.0	0.0
iJR904	obj	EX_alltn_e	optimal	0.0	0.0
iJR904	obj	EX_amp_e	optimal	0.0	0.0
iJR904	obj	EX_arab__L_e	optimal	0.0	0.0
iJR904	obj	EX_arg__L_e	optimal	0.0	0.0
iJR904	obj	EX_asn__L_e	optimal	0.0	0.0
iJR904	obj	EX_asp__L_e	optimal	0.0	0.0
iJR904	obj	EX_but_e	optimal	0.0	0.0
iJR904	obj	EX_cbl1_e	optimal	0.0	0.0
iJR904	obj	EX_chol_e	optimal	0.0	0.0
iJR904	obj	EX_cit_e	optimal	0.0	0.0
iJR904	obj	EX_co2_e	optimal	21.77702307	21.77702307
iJR904	obj	EX_crn_e	optimal	0.0	0.0
iJR904	obj	EX_csn_e	optimal	0.0	0.0
iJR904	obj	EX_cynt_e	optimal	0.0	0.0
iJR904	obj	EX_cys__L_e	optimal	0.0	0.0
iJR904	obj	EX_cytd_e	optimal	0.0	0.0
iJR904	obj	EX_dad_2_e	optimal	0.0	0.0
iJR904	obj	EX_dcyt_e	optimal	0.0	0.0
iJR904	obj	EX_dgsn_e	optimal	0.0	0.0
iJR904	obj	EX_dha_e	optimal	0.0	0.0
iJR904	obj	EX_din_e	optimal	0.0	0.0
iJR904	obj	EX_dms_e	optimal	0.0	0.0
iJR904	obj	EX_dmso_e	optimal	-0.0	0.0
iJR904	obj	EX_duri_e	optimal	0.0	0.0
iJR904	obj	EX_etoh_e	optimal	0.0	0.0
iJR904	obj	EX_fe2_e	optimal	0.0	0.0
iJR904	obj	EX_for_e	optimal	0.0	0.0
iJR904	obj	EX_fru_e	optimal	0.0	0.0
iJR904	obj	EX_fuc1p__L_e	optimal	0.0	0.0
iJR904	obj	EX_fuc__L_e	optimal	0.0	0.0
iJR904	obj	EX_fum_e	optimal	0.0	0.0
iJR904	obj	EX_g6p_e	optimal	0.0	0.0
iJR904	obj	EX_gal_e	optimal	0.0	0.0
iJR904	obj	EX_galct__D_e	optimal	0.0	0.0
iJR904	obj	EX_galctn__D_e	optimal	0.0	0.0
iJR904	obj	EX_galt_e	optimal	0.0	0.0
iJR904	obj	EX_galur_e	optimal	0.0	0.0
iJR904	obj	EX_gam_e	optimal	0.0	0.0
iJR904	obj	EX_gbbtn_e	optimal	0.0	0.0
iJR904	obj	EX_glc__D_e	optimal	-10.0	-10.0
iJR904	obj	EX_glcn_e	optimal	0.0	0.0
iJR904	obj	EX_glcr_e	optimal	0.0	0.0
iJR904	obj	EX_glcur_e	optimal	0.0	0.0
iJR904	obj	EX_gln__L_e	optimal	0.0	0.0
iJR904	obj	EX_glu__L_e	optimal	0.0	0.0
iJR904	obj	EX_gly_e	optimal	0.0	0.0
iJR904	obj	EX_glyald_e	optimal	0.0	0.0
iJR904	obj	EX_glyb_e	optimal	0.0	0.0
iJR904	obj	EX_glyc3p_e	optimal	0.0	0.0
iJR904	obj	EX_glyc_e	optimal	0.0	0.0
iJR904	obj	EX_glyclt_e	optimal	0.0	0.0
iJR904	obj	EX_gsn_e	optimal	0.0	0.0
iJR904	obj	EX_gua_e	optimal	0.0	0.0
iJR904	obj	EX_h2o_e	optimal	41.29449369	41.29449369
iJR904	obj	EX_h_e	optimal	8.42754598	8.42754598
iJR904	obj	EX_hdca_e	optimal	0.0	0.0
iJR904	obj	EX_his__L_e	optimal	0.0	0.0
iJR904	obj	EX_hxan_e	optimal	0.0	0.0
iJR904	obj	EX_idon__L_e	optimal	0.0	0.0
iJR904	obj	EX_ile__L_e	optimal	0.0	0.0
iJR904	obj	EX_indole_e	optimal	0.0	0.0
iJR904	obj	EX_ins_e	optimal	0.0	0.0
iJR904	obj	EX_k_e	optimal	0.0	0.0
iJR904	obj	EX_lac__D_e	optimal	0.0	0.0
iJR904	obj	EX_lac__L_e	optimal	0.0	0.0
iJR904	obj	EX_lcts_e	optimal	0.0	0.0
iJR904	obj	EX_leu__L_e	optimal	0.0	0.0
iJR904	obj	EX_lys__L_e	optimal	0.0	0.0
iJR904	obj	EX_mal__L_e	optimal	0.0	0.0
iJR904	obj	EX_malt_e	optimal	0.0	0.0
iJR904	obj	EX_malthx_e	optimal	0.0	0.0
iJR904	obj	EX_maltpt_e	optimal	0.0	0.0
iJR904	obj	EX_malttr_e	optimal	0.0	0.0
iJR904	obj	EX_maltttr_e	optimal	0.0	0.0
iJR904	obj	EX_man6p_e	optimal	0.0	0.0
iJR904	obj	EX_man_e	optimal	0.0	0.0
iJR904	obj	EX_melib_e	optimal	0.0	0.0
iJR904	obj	EX_met__D_e	optimal	0.0	0.0
iJR904	obj	EX_met__L_e	optimal	0.0	0.0
iJR904	obj	EX_mnl_e	optimal	0.0	0.0
iJR904	obj	EX_na1_e	optimal	0.0	0.0
iJR904	obj	EX_nac_e	optimal	0.0	0.0
iJR904	obj	EX_nad_e	optimal	0.0	0.0
iJR904	obj	EX_nh4_e	optimal	-9.85052031	-9.85052031
iJR904	obj	EX_nmn_e	optimal	0.0	0.0
iJR904	obj	EX_no2_e	optimal	0.0	0.0
iJR904	obj	EX_no3_e	optimal	0.0	0.0
iJR904	obj	EX_o2_e	optimal	-19.92838761	-19.92838761
iJR904	obj	EX_ocdca_e	optimal	0.0	0.0
