model	objective	gene	status	value
e_coli_core	obj	b0008	optimal	0.873922
e_coli_core	obj	b0114	optimal	0.796696
e_coli_core	obj	b0115	optimal	0.796696
e_coli_core	obj	b0116	optimal	0.782351
e_coli_core	obj	b0118	optimal	0.873922
e_coli_core	obj	b0351	optimal	0.873922
e_coli_core	obj	b0356	optimal	0.873922
e_coli_core	obj	b0451	optimal	0.873922
e_coli_core	obj	b0474	optimal	0.873922
e_coli_core	obj	b0485	optimal	0.873922
e_coli_core	obj	b0720	optimal	0.0
e_coli_core	obj	b0721	optimal	0.814298
e_coli_core	obj	b0722	optimal	0.814298
e_coli_core	obj	b0723	optimal	0.814298
e_coli_core	obj	b0724	optimal	0.814298
e_coli_core	obj	b0726	optimal	0.858307
e_coli_core	obj	b0727	optimal	0.858307
e_coli_core	obj	b0728	optimal	0.858307
e_coli_core	obj	b0729	optimal	0.858307
e_coli_core	obj	b0733	optimal	0.873922
e_coli_core	obj	b0734	optimal	0.873922
e_coli_core	obj	b0755	optimal	0.873922
e_coli_core	obj	b0767	optimal	0.863813
e_coli_core	obj	b0809	optimal	0.873922
e_coli_core	obj	b0810	optimal	0.873922
e_coli_core	obj	b0811	optimal	0.873922
e_coli_core	obj	b0875	optimal	0.873922
e_coli_core	obj	b0902	optimal	0.873922
e_coli_core	obj	b0903	optimal	0.873922
e_coli_core	obj	b0904	optimal	0.873922
e_coli_core	obj	b0978	optimal	0.873922
e_coli_core	obj	b0979	optimal	0.873922
e_coli_core	obj	b1101	optimal	0.873922
e_coli_core	obj	b1136	optimal	0.0
e_coli_core	obj	b1241	optimal	0.873922
e_coli_core	obj	b1276	optimal	0.873922
e_coli_core	obj	b1297	optimal	0.873922
e_coli_core	obj	b1380	optimal	0.873922
e_coli_core	obj	b1478	optimal	0.873922
e_coli_core	obj	b1479	optimal	0.873922
e_coli_core	obj	b1524	optimal	0.873922
e_coli_core	obj	b1602	optimal	0.873922
e_coli_core	obj	b1603	optimal	0.873922
e_coli_core	obj	b1611	optimal	0.873922
e_coli_core	obj	b1612	optimal	0.873922
e_coli_core	obj	b1621	optimal	0.873922
e_coli_core	obj	b1676	optimal	0.873922
e_coli_core	obj	b1702	optimal	0.873922
e_coli_core	obj	b1723	optimal	0.873922
e_coli_core	obj	b1761	optimal	0.851389
e_coli_core	obj	b1773	optimal	0.873922
e_coli_core	obj	b1779	optimal	0.0
e_coli_core	obj	b1812	optimal	0.873922
e_coli_core	obj	b1817	optimal	0.873922
e_coli_core	obj	b1818	optimal	0.873922
e_coli_core	obj	b1819	optimal	0.873922
e_coli_core	obj	b1849	optimal	0.873922
e_coli_core	obj	b1852	optimal	0.863813
e_coli_core	obj	b1854	optimal	0.873922
e_coli_core	obj	b2029	optimal	0.863813
e_coli_core	obj	b2097	optimal	0.873922
e_coli_core	obj	b2133	optimal	0.873922
e_coli_core	obj	b2276	optimal	0.211663
e_coli_core	obj	b2277	optimal	0.211663
e_coli_core	obj	b2278	optimal	0.211663
e_coli_core	obj	b2279	optimal	0.211663
e_coli_core	obj	b2280	optimal	0.211663
e_coli_core	obj	b2281	optimal	0.211663
e_coli_core	obj	b2282	optimal	0.211663
e_coli_core	obj	b2283	optimal	0.211663
e_coli_core	obj	b2284	optimal	0.211663
e_coli_core	obj	b2285	optimal	0.211663
e_coli_core	obj	b2286	optimal	0.211663
e_coli_core	obj	b2287	optimal	0.211663
e_coli_core	obj	b2288	optimal	0.211663
e_coli_core	obj	b2296	optimal	0.873922
e_coli_core	obj	b2297	optimal	0.873922
e_coli_core	obj	b2415	infeasible	
e_coli_core	obj	b2416	infeasible	
e_coli_core	obj	b2417	optimal	0.873922
e_coli_core	obj	b2458	optimal	0.873922
e_coli_core	obj	b2463	optimal	0.873922
e_coli_core	obj	b2464	optimal	0.873922
e_coli_core	obj	b2465	optimal	0.873922
e_coli_core	obj	b2492	optimal	0.873922
e_coli_core	obj	b2579	optimal	0.873922
e_coli_core	obj	b2587	optimal	0.873922
e_coli_core	obj	b2779	optimal	0.0
e_coli_core	obj	b2914	optimal	0.873922
e_coli_core	obj	b2925	optimal	0.873922
e_coli_core	obj	b2926	optimal	0.0
e_coli_core	obj	b2935	optimal	0.873922
e_coli_core	obj	b2975	optimal	0.873922
e_coli_core	obj	b2976	optimal	0.873922
e_coli_core	obj	b2987	optimal	0.873922
e_coli_core	obj	b3114	optimal	0.873922
e_coli_core	obj	b3115	optimal	0.873922
e_coli_core	obj	b3212	optimal	0.873922
e_coli_core	obj	b3213	optimal	0.873922
e_coli_core	obj	b3236	optimal	0.825819
e_coli_core	obj	b3386	optimal	0.873922
e_coli_core	obj	b3403	optimal	0.873922
e_coli_core	obj	b3493	optimal	0.873922
e_coli_core	obj	b3528	optimal	0.873922
e_coli_core	obj	b3603	optimal	0.873922
e_coli_core	obj	b3612	optimal	0.873922
e_coli_core	obj	b3731	optimal	0.37423
e_coli_core	obj	b3732	optimal	0.37423
e_coli_core	obj	b3733	optimal	0.37423
e_coli_core	obj	b3734	optimal	0.37423
e_coli_core	obj	b3735	optimal	0.37423
e_coli_core	obj	b3736	optimal	0.37423
e_coli_core	obj	b3737	optimal	0.37423
e_coli_core	obj	b3738	optimal	0.37423
e_coli_core	obj	b3739	optimal	0.873922
e_coli_core	obj	b3870	optimal	0.873922
e_coli_core	obj	b3916	optimal	0.873922
e_coli_core	obj	b3919	optimal	0.704037
e_coli_core	obj	b3925	optimal	0.873922
e_coli_core	obj	b3951	optimal	0.873922
e_coli_core	obj	b3952	optimal	0.873922
e_coli_core	obj	b3956	optimal	0.870745
e_coli_core	obj	b3962	optimal	0.873922
e_coli_core	obj	b4014	optimal	0.873922
e_coli_core	obj	b4015	optimal	0.873922
e_coli_core	obj	b4025	optimal	0.86316
e_coli_core	obj	b4077	optimal	0.873922
e_coli_core	obj	b4090	optimal	0.873922
e_coli_core	obj	b4122	optimal	0.873922
e_coli_core	obj	b4151	optimal	0.873922
e_coli_core	obj	b4152	optimal	0.873922
e_coli_core	obj	b4153	optimal	0.873922
e_coli_core	obj	b4154	optimal	0.873922
e_coli_core	obj	b4232	optimal	0.873922
e_coli_core	obj	b4301	optimal	0.873922
e_coli_core	obj	b4395	optimal	0.873922
e_coli_core	obj	s0001	optimal	0.211141
